epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3485.27,0.58239,0.6022,0.00822,0.91926,0.86598,0.94415,0.84477,0.527,0.41596,0.01324,0.000134861,0.000134861,0.000134861
43,3569.6,0.57524,0.58036,0.00796,0.91447,0.88816,0.94903,0.85355,0.53197,0.40464,0.01335,0.000132613,0.000132613,0.000132613
44,3654.17,0.57979,0.57449,0.00812,0.89847,0.8844,0.94672,0.84911,0.53251,0.42055,0.01342,0.000130366,0.000130366,0.000130366
45,3738.29,0.57606,0.57275,0.00786,0.8944,0.90517,0.94857,0.85436,0.51526,0.40022,0.013,0.000128119,0.000128119,0.000128119
46,3822.76,0.57344,0.56781,0.00796,0.90133,0.89032,0.94635,0.85406,0.51996,0.39284,0.01313,0.000125871,0.000125871,0.000125871
47,3908.62,0.5676,0.56914,0.00783,0.89429,0.90668,0.95072,0.85862,0.5203,0.3794,0.01312,0.000123624,0.000123624,0.000123624
48,3994.24,0.56348,0.55068,0.00788,0.91484,0.89883,0.9516,0.8573,0.52726,0.37977,0.01335,0.000121377,0.000121377,0.000121377
49,4079.91,0.57011,0.53705,0.00772,0.9007,0.90081,0.95223,0.85793,0.52096,0.38252,0.01307,0.00011913,0.00011913,0.00011913
50,4166.29,0.57235,0.52877,0.00775,0.90042,0.90432,0.95273,0.85795,0.52035,0.38211,0.01299,0.000116882,0.000116882,0.000116882
51,4252.56,0.56627,0.52596,0.00762,0.90957,0.90311,0.95169,0.85661,0.51735,0.38455,0.01298,0.000114635,0.000114635,0.000114635
52,4338.54,0.56067,0.52626,0.00772,0.91085,0.89953,0.95342,0.85897,0.51571,0.37277,0.01298,0.000112388,0.000112388,0.000112388
53,4424.49,0.5674,0.53329,0.00784,0.89596,0.90886,0.95147,0.86074,0.515,0.38344,0.013,0.00011014,0.00011014,0.00011014
54,4510.9,0.56268,0.52989,0.00764,0.90048,0.91007,0.95313,0.85993,0.51072,0.37536,0.0128,0.000107893,0.000107893,0.000107893
55,4597.12,0.5515,0.52038,0.00749,0.90629,0.90751,0.95616,0.863,0.51823,0.37745,0.01303,0.000105646,0.000105646,0.000105646
56,4682.63,0.56208,0.52006,0.00773,0.90137,0.90831,0.9531,0.86143,0.51637,0.38108,0.01288,0.000103398,0.000103398,0.000103398
57,4767.46,0.55545,0.50703,0.00769,0.92078,0.90642,0.95912,0.86688,0.51361,0.36242,0.01285,0.000101151,0.000101151,0.000101151
58,4852.69,0.54987,0.50729,0.0076,0.9281,0.90713,0.96065,0.87003,0.50675,0.36249,0.01267,9.89039e-05,9.89039e-05,9.89039e-05
59,4939.03,0.55372,0.4983,0.00771,0.91078,0.91236,0.95687,0.86623,0.5088,0.36238,0.01272,9.66566e-05,9.66566e-05,9.66566e-05
60,5027.3,0.55271,0.49821,0.0076,0.91534,0.9068,0.95549,0.86691,0.50861,0.36849,0.01279,9.44093e-05,9.44093e-05,9.44093e-05
61,5116.25,0.54622,0.49493,0.00751,0.91551,0.90962,0.95776,0.8676,0.51104,0.36848,0.01282,9.2162e-05,9.2162e-05,9.2162e-05
62,5204.65,0.5415,0.4819,0.00736,0.90991,0.91733,0.96013,0.86873,0.51097,0.35195,0.01275,8.99147e-05,8.99147e-05,8.99147e-05
63,5293.24,0.55047,0.4972,0.00757,0.90641,0.91649,0.95774,0.86667,0.50769,0.35684,0.01275,8.76674e-05,8.76674e-05,8.76674e-05
64,5382.12,0.54369,0.47475,0.00736,0.91729,0.92344,0.96214,0.8734,0.50697,0.34653,0.01265,8.54201e-05,8.54201e-05,8.54201e-05
65,5470.72,0.54591,0.48156,0.00731,0.91677,0.91274,0.95644,0.86654,0.51673,0.35409,0.01303,8.31728e-05,8.31728e-05,8.31728e-05
66,5559.6,0.53861,0.4744,0.00724,0.91274,0.91082,0.95968,0.87097,0.50536,0.35232,0.01268,8.09255e-05,8.09255e-05,8.09255e-05
67,5648.35,0.54927,0.47549,0.00736,0.92645,0.91344,0.96158,0.87148,0.50685,0.34763,0.01262,7.86782e-05,7.86782e-05,7.86782e-05
68,5735.46,0.54116,0.4756,0.00746,0.92634,0.91812,0.96047,0.87044,0.51084,0.34276,0.01283,7.64309e-05,7.64309e-05,7.64309e-05
69,5821.63,0.54698,0.46549,0.00738,0.91661,0.92474,0.96106,0.86928,0.51107,0.34384,0.01283,7.41836e-05,7.41836e-05,7.41836e-05
70,5907.73,0.54278,0.47019,0.0073,0.90993,0.9168,0.96011,0.87072,0.5064,0.3597,0.01264,7.19363e-05,7.19363e-05,7.19363e-05
71,5993.1,0.53993,0.45943,0.00722,0.91956,0.90756,0.9597,0.87022,0.50616,0.35362,0.01267,6.9689e-05,6.9689e-05,6.9689e-05
72,6079.17,0.54515,0.46031,0.00733,0.91157,0.91477,0.95979,0.8696,0.50918,0.35757,0.01271,6.74417e-05,6.74417e-05,6.74417e-05
73,6164.68,0.53691,0.46364,0.00722,0.91598,0.91356,0.95988,0.86968,0.50873,0.34927,0.01277,6.51944e-05,6.51944e-05,6.51944e-05
74,6249.15,0.53467,0.4448,0.0071,0.9027,0.93068,0.96013,0.86968,0.50585,0.34412,0.01258,6.29471e-05,6.29471e-05,6.29471e-05
75,6333.51,0.52987,0.44896,0.0072,0.91332,0.92167,0.96261,0.87181,0.50665,0.34246,0.01265,6.06998e-05,6.06998e-05,6.06998e-05
76,6418.33,0.5301,0.45079,0.00709,0.92952,0.91132,0.96164,0.87106,0.50678,0.343,0.01265,5.84525e-05,5.84525e-05,5.84525e-05
77,6503.44,0.52933,0.438,0.00726,0.92246,0.91341,0.96148,0.87211,0.5044,0.34645,0.01263,5.62052e-05,5.62052e-05,5.62052e-05
78,6589.25,0.53237,0.44652,0.0071,0.90614,0.93017,0.9615,0.87026,0.50348,0.35005,0.01258,5.39579e-05,5.39579e-05,5.39579e-05
79,6676.23,0.52064,0.43544,0.00708,0.90805,0.92451,0.96186,0.8742,0.50328,0.34354,0.01258,5.17106e-05,5.17106e-05,5.17106e-05
80,6764.22,0.52868,0.43298,0.00703,0.92371,0.91435,0.95971,0.87026,0.50623,0.34708,0.0126,4.94633e-05,4.94633e-05,4.94633e-05
81,6852.03,0.52062,0.44039,0.00706,0.91341,0.92145,0.96041,0.87123,0.50378,0.35103,0.01257,4.7216e-05,4.7216e-05,4.7216e-05
82,6939.85,0.52051,0.42152,0.00687,0.91587,0.9195,0.96269,0.87347,0.5043,0.34615,0.01265,4.49687e-05,4.49687e-05,4.49687e-05
83,7027.53,0.52167,0.44017,0.00705,0.90062,0.93589,0.96326,0.87351,0.50766,0.34046,0.01274,4.27214e-05,4.27214e-05,4.27214e-05
84,7114.74,0.52894,0.438,0.00696,0.92248,0.91666,0.9634,0.87422,0.50568,0.34566,0.01263,4.04741e-05,4.04741e-05,4.04741e-05
85,7202.85,0.5242,0.4336,0.00706,0.91288,0.93313,0.96325,0.87405,0.50621,0.3424,0.01263,3.82268e-05,3.82268e-05,3.82268e-05
86,7290.94,0.51733,0.4275,0.00697,0.92487,0.9169,0.96437,0.87578,0.50493,0.34087,0.01259,3.59795e-05,3.59795e-05,3.59795e-05
87,7378.02,0.52229,0.4296,0.00706,0.9178,0.92123,0.96402,0.87482,0.50613,0.34779,0.01264,3.37322e-05,3.37322e-05,3.37322e-05
88,7464.81,0.52691,0.4217,0.00683,0.91435,0.93117,0.96342,0.87312,0.50369,0.34895,0.01254,3.14849e-05,3.14849e-05,3.14849e-05
89,7550.55,0.52183,0.42358,0.007,0.92066,0.92242,0.96466,0.87744,0.50471,0.34377,0.01258,2.92376e-05,2.92376e-05,2.92376e-05
90,7636.84,0.51467,0.42193,0.00681,0.91022,0.93313,0.96363,0.8772,0.50328,0.34474,0.01255,2.69903e-05,2.69903e-05,2.69903e-05
91,7724.21,0.45878,0.31595,0.00818,0.89778,0.93382,0.96269,0.87301,0.50837,0.35157,0.01263,2.4743e-05,2.4743e-05,2.4743e-05
92,7808.5,0.44934,0.28753,0.00784,0.90058,0.93119,0.96246,0.87192,0.51072,0.35018,0.01272,2.24957e-05,2.24957e-05,2.24957e-05
93,7892.75,0.44268,0.28811,0.00775,0.92227,0.92055,0.96364,0.87299,0.5105,0.34037,0.01272,2.02484e-05,2.02484e-05,2.02484e-05
94,7977.22,0.44457,0.28488,0.00763,0.91515,0.92547,0.96348,0.87283,0.50917,0.34031,0.01268,1.80011e-05,1.80011e-05,1.80011e-05
95,8061.39,0.43911,0.27871,0.00765,0.90615,0.93162,0.96345,0.87366,0.5078,0.34538,0.01264,1.57538e-05,1.57538e-05,1.57538e-05
96,8145.99,0.44213,0.28061,0.00748,0.90856,0.9309,0.96191,0.8719,0.50696,0.34615,0.01259,1.35065e-05,1.35065e-05,1.35065e-05
97,8230.48,0.44296,0.27168,0.0075,0.90337,0.93154,0.96194,0.87308,0.50647,0.34452,0.0126,1.12592e-05,1.12592e-05,1.12592e-05
98,8315.3,0.43877,0.27697,0.00745,0.90675,0.92948,0.96218,0.87396,0.506,0.33744,0.01257,9.0119e-06,9.0119e-06,9.0119e-06
99,8399.48,0.43668,0.27018,0.00743,0.9078,0.93073,0.9636,0.87617,0.50554,0.33784,0.01258,6.7646e-06,6.7646e-06,6.7646e-06
100,8483.62,0.43446,0.27055,0.00752,0.91374,0.92169,0.9636,0.87551,0.5065,0.33683,0.01259,4.5173e-06,4.5173e-06,4.5173e-06
