                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.022428,               0.016112,               0.016309,               0.011569,                 0.9789,                0.94417,                 0.9836,                0.88258,                0.98159,                0.94202,                0.97926,                 0.8873,               0.014817,               0.011412,              0.0081099,              0.0054824,               0.007723,               0.007723,               0.007723
                     25,               0.022423,               0.015963,               0.016288,                0.01107,                0.97991,                0.94845,                0.98523,                 0.8858,                0.98404,                0.94125,                0.97986,                0.89616,               0.014766,               0.011382,              0.0079507,              0.0054671,               0.007624,               0.007624,               0.007624
                     26,               0.021904,               0.015869,               0.015848,               0.010846,                0.97697,                0.95348,                0.98706,                0.89481,                0.98297,                0.94737,                0.98248,                0.89886,                0.01436,               0.011105,              0.0077682,              0.0050275,               0.007525,               0.007525,               0.007525
                     27,                0.02208,               0.015801,               0.015927,               0.010943,                0.98043,                0.95872,                0.98759,                0.88884,                0.98591,                 0.9483,                0.98161,                 0.8883,                0.01445,               0.011369,              0.0079246,              0.0051843,               0.007426,               0.007426,               0.007426
                     28,               0.021934,               0.016027,               0.015988,               0.010662,                0.98694,                0.95856,                0.98744,                0.89612,                0.98789,                0.95655,                0.98319,                0.90024,               0.014035,               0.011068,              0.0077146,               0.004614,               0.007327,               0.007327,               0.007327
                     29,                0.02176,               0.015889,                0.01587,                0.01061,                0.97966,                0.96045,                0.98805,                0.89668,                  0.985,                0.95069,                0.98369,                0.90423,               0.014179,               0.011014,              0.0077423,              0.0046168,               0.007228,               0.007228,               0.007228
                     30,               0.021663,               0.015817,               0.015849,               0.010406,                0.98629,                0.95775,                0.98839,                0.89646,                0.98701,                 0.9536,                0.98459,                0.90359,               0.014214,               0.011118,              0.0077209,              0.0047208,               0.007129,               0.007129,               0.007129
                     31,               0.021191,               0.015515,               0.015378,               0.010197,                0.98432,                0.95921,                0.98815,                0.90105,                0.98594,                0.95636,                0.98403,                0.90217,                0.01404,               0.011195,              0.0077105,              0.0046195,                0.00703,                0.00703,                0.00703
                     32,               0.021201,               0.015531,               0.015423,                0.01017,                0.98419,                0.96198,                 0.9893,                0.90178,                0.98713,                0.95578,                0.98419,                0.90228,               0.013855,               0.010904,              0.0075943,               0.004498,               0.006931,               0.006931,               0.006931
                     33,               0.020981,                0.01537,                0.01529,               0.010156,                0.98752,                0.95398,                0.98885,                0.90369,                0.98928,                0.95179,                0.98516,                0.90209,               0.013719,               0.010749,              0.0074386,              0.0044078,               0.006832,               0.006832,               0.006832
                     34,               0.020832,               0.015439,               0.015243,               0.010012,                0.98711,                0.95764,                0.98792,                0.90386,                0.98713,                0.95596,                0.98438,                0.90174,               0.013727,               0.010892,              0.0075657,              0.0045628,               0.006733,               0.006733,               0.006733
                     35,               0.020825,               0.015284,               0.015158,              0.0096393,                0.98541,                0.96409,                0.98942,                0.90784,                0.98835,                0.95736,                0.98514,                0.90794,               0.013586,               0.010793,              0.0075057,              0.0042687,               0.006634,               0.006634,               0.006634
                     36,               0.020718,               0.015221,               0.015082,               0.009695,                0.98048,                 0.9645,                0.98909,                0.90979,                0.98139,                0.95736,                0.98537,                0.90655,               0.013495,               0.010703,              0.0074525,              0.0045407,               0.006535,               0.006535,               0.006535
                     37,               0.020764,               0.015069,               0.015089,              0.0095953,                 0.9899,                0.95838,                0.98938,                0.90839,                0.99016,                0.95801,                0.98644,                0.90838,               0.013504,               0.010852,              0.0074285,              0.0041347,               0.006436,               0.006436,               0.006436
                     38,               0.020443,               0.015227,               0.014798,               0.009428,                 0.9825,                0.96596,                0.98971,                0.91194,                0.99094,                0.95734,                0.98603,                0.90413,               0.013321,               0.010698,               0.007359,              0.0042008,               0.006337,               0.006337,               0.006337
                     39,               0.020426,                0.01507,               0.014931,              0.0092804,                 0.9889,                0.96025,                0.98953,                0.91219,                0.98863,                0.95738,                0.98613,                0.90914,               0.013437,               0.010686,               0.007417,              0.0042657,               0.006238,               0.006238,               0.006238
                     40,               0.020367,               0.015206,               0.014983,              0.0093088,                0.98604,                0.96941,                0.99062,                0.91156,                0.98734,                0.96148,                0.98643,                0.91052,                0.01336,               0.010861,              0.0073614,              0.0041959,               0.006139,               0.006139,               0.006139
                     41,               0.019827,               0.014714,               0.014526,              0.0091318,                0.98623,                0.97261,                0.99098,                0.91504,                0.98896,                 0.9639,                0.98791,                0.90668,               0.013142,               0.010691,              0.0072531,              0.0040403,                0.00604,                0.00604,                0.00604
                     42,               0.020058,               0.014978,               0.014704,              0.0089039,                0.98487,                 0.9707,                0.99137,                0.91664,                0.98851,                0.96423,                0.98817,                0.91165,               0.013128,               0.010548,              0.0072296,              0.0038674,               0.005941,               0.005941,               0.005941
                     43,               0.020127,               0.014913,               0.014672,               0.009096,                0.98867,                0.96388,                0.99006,                0.91553,                0.99049,                0.96143,                0.98643,                0.90732,               0.013151,               0.010561,              0.0072105,              0.0037012,               0.005842,               0.005842,               0.005842
                     44,               0.019916,               0.014764,               0.014465,               0.009028,                0.98968,                  0.971,                0.99137,                0.91624,                0.98919,                0.96705,                0.98832,                0.90989,               0.013116,               0.010586,              0.0072041,              0.0037142,               0.005743,               0.005743,               0.005743
                     45,               0.019723,               0.014764,               0.014353,              0.0088632,                0.98537,                0.96988,                0.99127,                0.91691,                0.98959,                0.96327,                0.98675,                0.91257,               0.013091,               0.010543,               0.007202,              0.0037561,               0.005644,               0.005644,               0.005644
                     46,               0.019759,               0.014805,               0.014336,              0.0088086,                0.98681,                 0.9727,                0.99129,                0.92223,                0.98741,                 0.9664,                0.98757,                0.91231,               0.012978,               0.010506,              0.0070861,               0.003682,               0.005545,               0.005545,               0.005545
                     47,               0.019599,               0.014787,               0.014368,              0.0087076,                0.99025,                0.97483,                0.99194,                0.92254,                0.98994,                 0.9708,                0.98918,                0.91501,               0.012876,               0.010449,              0.0071333,              0.0035557,               0.005446,               0.005446,               0.005446
                     48,               0.019675,               0.014891,               0.014473,              0.0084875,                0.98851,                0.97339,                0.99144,                0.92044,                0.98659,                0.96889,                0.98769,                 0.9127,               0.012895,               0.010507,               0.007115,              0.0036938,               0.005347,               0.005347,               0.005347
                     49,               0.019225,               0.014296,               0.014099,               0.008385,                0.99151,                0.97416,                0.99196,                0.92175,                0.99179,                0.96937,                0.98928,                0.91051,               0.012807,               0.010406,               0.006996,              0.0036259,               0.005248,               0.005248,               0.005248
                     50,               0.019279,               0.014685,               0.014045,              0.0084033,                0.98595,                0.97506,                0.99104,                0.92356,                0.98785,                 0.9665,                0.98759,                0.91392,                0.01279,               0.010465,              0.0070688,              0.0035945,               0.005149,               0.005149,               0.005149
                     51,                0.01914,               0.014331,               0.014034,              0.0082948,                0.99089,                0.97278,                0.99168,                0.92499,                0.98975,                0.96951,                0.98887,                0.91565,               0.012705,               0.010368,              0.0069675,              0.0036854,                0.00505,                0.00505,                0.00505
                     52,               0.019175,               0.014425,               0.013817,              0.0083332,                0.98857,                0.97454,                0.99202,                 0.9261,                0.98755,                0.97065,                0.98951,                0.91298,               0.012576,               0.010329,              0.0068815,              0.0035648,               0.004951,               0.004951,               0.004951
                     53,               0.019014,               0.014391,               0.013883,              0.0081249,                0.98755,                0.97396,                0.99161,                0.92785,                0.98742,                0.97005,                0.98982,                0.91714,               0.012549,               0.010268,               0.006873,              0.0036136,               0.004852,               0.004852,               0.004852
                     54,               0.018972,               0.014335,               0.013862,              0.0081548,                0.98693,                0.97805,                0.99211,                0.92734,                0.98658,                0.97466,                0.98991,                 0.9169,               0.012516,               0.010279,              0.0068098,              0.0034654,               0.004753,               0.004753,               0.004753
                     55,               0.018871,               0.014239,               0.013794,              0.0078939,                0.98963,                0.97712,                0.99236,                0.92878,                0.98866,                0.97425,                0.99025,                0.91833,               0.012462,                0.01024,              0.0067816,              0.0033851,               0.004654,               0.004654,               0.004654
                     56,               0.018826,               0.014372,               0.013633,              0.0080353,                0.98732,                0.97758,                0.99217,                0.92931,                0.98784,                0.97512,                0.99055,                0.91601,               0.012461,               0.010211,              0.0068399,               0.003447,               0.004555,               0.004555,               0.004555
                     57,                0.01864,               0.014325,               0.013647,              0.0080526,                0.98702,                0.97799,                0.99239,                0.93159,                0.98514,                0.97568,                0.99088,                0.91576,               0.012466,               0.010284,                0.00675,              0.0034583,               0.004456,               0.004456,               0.004456
                     58,               0.018573,               0.014178,               0.013664,              0.0078051,                0.98898,                0.97601,                0.99221,                0.92932,                0.98997,                0.97424,                 0.9901,                0.91722,                0.01243,               0.010309,              0.0067738,              0.0034583,               0.004357,               0.004357,               0.004357
                     59,               0.018615,               0.014034,                 0.0137,              0.0077156,                0.99001,                0.97965,                0.99256,                0.93008,                0.98985,                0.97425,                0.99055,                0.91898,               0.012389,               0.010342,              0.0067717,                 0.0033,               0.004258,               0.004258,               0.004258
                     60,               0.018436,               0.013999,               0.013571,               0.007513,                0.98687,                0.97763,                0.99231,                0.93141,                0.98796,                0.97178,                 0.9898,                0.91891,               0.012366,               0.010276,               0.006698,              0.0034244,               0.004159,               0.004159,               0.004159
                     61,               0.018443,               0.014141,               0.013507,              0.0076247,                0.99024,                0.97983,                0.99236,                0.93398,                0.98852,                0.97796,                0.99041,                0.91853,                0.01228,               0.010174,              0.0066368,              0.0033948,                0.00406,                0.00406,                0.00406
                     62,               0.018318,               0.014053,               0.013355,              0.0075724,                0.98889,                0.97971,                0.99234,                 0.9332,                0.98735,                0.97301,                0.98917,                0.91799,               0.012233,               0.010186,              0.0066156,              0.0033627,               0.003961,               0.003961,               0.003961
                     63,               0.018139,               0.013874,               0.013228,              0.0075302,                0.98825,                0.97778,                0.99243,                  0.934,                 0.9879,                0.97324,                0.99006,                0.91851,               0.012234,               0.010177,              0.0066198,              0.0033206,               0.003862,               0.003862,               0.003862
                     64,               0.018114,               0.013961,               0.013307,              0.0072695,                 0.9902,                0.97752,                0.99175,                0.93399,                0.98876,                0.97542,                0.98995,                0.91859,               0.012173,               0.010153,              0.0065949,              0.0032192,               0.003763,               0.003763,               0.003763
                     65,               0.018089,               0.013921,               0.013291,              0.0073537,                  0.989,                0.97718,                0.99232,                0.93406,                0.99008,                0.97379,                0.99011,                 0.9191,               0.012181,               0.010166,              0.0066229,              0.0032574,               0.003664,               0.003664,               0.003664
                     66,               0.017946,               0.013797,               0.013012,              0.0070946,                0.99135,                0.97978,                0.99266,                0.93615,                0.98968,                0.97657,                0.99048,                0.91864,               0.012133,               0.010159,              0.0065798,              0.0031844,               0.003565,               0.003565,               0.003565
                     67,               0.017853,               0.013779,               0.013111,              0.0071343,                0.99247,                0.97786,                0.99266,                0.93597,                0.99114,                0.97394,                0.99028,                0.92051,               0.012144,               0.010175,               0.006603,              0.0032902,               0.003466,               0.003466,               0.003466
                     68,               0.017779,               0.013675,               0.012988,              0.0072001,                0.99265,                0.98022,                0.99308,                0.93605,                0.99056,                0.97689,                0.99024,                0.91849,               0.012042,               0.010141,              0.0065663,              0.0029877,               0.003367,               0.003367,               0.003367
                     69,               0.017574,               0.013394,               0.012874,              0.0069885,                0.99198,                0.97912,                0.99313,                0.93657,                0.98951,                0.97478,                 0.9902,                0.92088,               0.012006,               0.010139,              0.0064954,              0.0031165,               0.003268,               0.003268,               0.003268
                     70,               0.017612,               0.013727,               0.012882,               0.006869,                0.99154,                0.98173,                0.99316,                0.93669,                0.99044,                0.97545,                0.98962,                0.92221,               0.011998,               0.010129,              0.0065338,              0.0030741,               0.003169,               0.003169,               0.003169
                     71,               0.017601,               0.013641,               0.012921,              0.0069876,                0.98906,                0.97967,                0.99296,                0.93851,                0.98932,                0.97546,                0.99034,                0.92214,               0.011981,                0.01009,              0.0065222,              0.0031185,                0.00307,                0.00307,                0.00307
                     72,               0.017576,               0.013669,               0.012828,              0.0068826,                0.98873,                 0.9805,                0.99264,                0.93758,                0.98824,                0.97647,                   0.99,                0.92177,               0.011973,                0.01009,              0.0065461,              0.0031794,               0.002971,               0.002971,               0.002971
                     73,               0.017448,               0.013674,               0.012879,              0.0068578,                0.99009,                0.98065,                0.99294,                 0.9391,                0.98851,                0.97586,                0.99051,                0.92144,               0.011899,               0.010102,              0.0064753,              0.0030177,               0.002872,               0.002872,               0.002872
                     74,               0.017421,               0.013693,               0.012798,              0.0068788,                0.98941,                0.97983,                0.99337,                0.93949,                0.98723,                0.97281,                0.98975,                0.92129,               0.011873,               0.010061,              0.0064693,                0.00308,               0.002773,               0.002773,               0.002773
                     75,               0.017421,                0.01381,               0.012823,              0.0067125,                0.99014,                0.98178,                0.99318,                0.93934,                0.98939,                0.97619,                0.99053,                0.92182,               0.011873,               0.010112,              0.0064955,              0.0030482,               0.002674,               0.002674,               0.002674
                     76,               0.017207,               0.013333,               0.012547,              0.0067752,                0.99027,                0.98082,                0.99298,                0.93888,                0.99079,                0.97693,                0.99056,                0.92176,               0.011849,               0.010121,              0.0064557,              0.0029579,               0.002575,               0.002575,               0.002575
                     77,               0.017161,               0.013384,               0.012482,              0.0066937,                 0.9901,                0.98091,                0.99313,                0.93989,                0.98893,                 0.9776,                0.99073,                 0.9209,               0.011824,               0.010088,              0.0064264,              0.0030022,               0.002476,               0.002476,               0.002476
                     78,               0.017066,               0.013473,               0.012511,              0.0066477,                0.99147,                0.98215,                 0.9934,                0.93985,                0.98887,                0.97808,                0.99061,                0.92183,               0.011812,               0.010106,              0.0064117,              0.0029999,               0.002377,               0.002377,               0.002377
                     79,               0.016907,               0.013323,               0.012389,              0.0064522,                0.98937,                0.98065,                0.99329,                0.94161,                0.98837,                0.97639,                0.99055,                 0.9235,                0.01179,                0.01006,              0.0063877,              0.0030464,               0.002278,               0.002278,               0.002278
                     80,               0.016873,               0.013173,               0.012227,              0.0065672,                0.99234,                0.98018,                0.99354,                0.94107,                0.99052,                0.97447,                0.99026,                0.92248,               0.011754,               0.010033,              0.0063689,              0.0029182,               0.002179,               0.002179,               0.002179
                     81,               0.016821,               0.013256,               0.012442,              0.0063435,                  0.991,                0.97995,                0.99318,                0.94139,                0.99243,                0.97441,                0.99065,                0.92205,               0.011709,               0.010025,              0.0063605,               0.002911,                0.00208,                0.00208,                0.00208
                     82,               0.016713,               0.013278,               0.012315,              0.0063428,                0.99227,                 0.9818,                0.99329,                0.94112,                0.98985,                0.97681,                0.99064,                0.92344,               0.011766,               0.010044,              0.0064014,              0.0029233,               0.001981,               0.001981,               0.001981
                     83,               0.016681,               0.013207,               0.012306,              0.0061107,                0.99248,                0.98299,                0.99354,                0.94221,                0.98998,                0.97864,                0.99065,                0.92297,               0.011746,               0.010038,              0.0063652,              0.0029168,               0.001882,               0.001882,               0.001882
                     84,               0.016742,               0.013278,               0.012167,              0.0061626,                0.99355,                0.98097,                0.99347,                0.94325,                0.99114,                 0.9775,                0.99046,                0.92445,               0.011704,                0.01002,              0.0063528,               0.002861,               0.001783,               0.001783,               0.001783
                     85,               0.016457,               0.012961,               0.011981,              0.0061559,                0.99364,                0.98066,                0.99323,                0.94346,                 0.9913,                0.97824,                0.99069,                0.92423,               0.011669,              0.0099836,              0.0063391,              0.0028556,               0.001684,               0.001684,               0.001684
                     86,               0.016524,               0.013167,               0.011978,              0.0061648,                0.99039,                0.98149,                0.99313,                0.94408,                 0.9882,                0.97846,                0.99034,                0.92442,               0.011651,              0.0099881,              0.0063542,              0.0028802,               0.001585,               0.001585,               0.001585
                     87,                0.01641,                0.01327,               0.011991,              0.0060221,                 0.9905,                0.98129,                0.99325,                0.94442,                0.98882,                0.97794,                0.99071,                0.92509,               0.011649,                0.00998,              0.0063704,              0.0029507,               0.001486,               0.001486,               0.001486
                     88,               0.016426,               0.013146,               0.012093,              0.0059998,                0.99051,                0.97996,                0.99302,                0.94515,                0.98928,                0.97597,                0.99075,                0.92639,               0.011644,              0.0099793,              0.0063577,              0.0029752,               0.001387,               0.001387,               0.001387
                     89,               0.016194,               0.012922,               0.011865,               0.005903,                0.99179,                0.98016,                0.99327,                0.94551,                0.99227,                0.97643,                0.99113,                0.92629,               0.011628,              0.0099503,              0.0063392,              0.0029254,               0.001288,               0.001288,               0.001288
                     90,                0.01615,                0.01283,               0.011745,              0.0057646,                0.99228,                0.98058,                0.99329,                0.94532,                0.99129,                0.97675,                0.99029,                0.92649,               0.011604,              0.0099708,              0.0063245,              0.0029386,               0.001189,               0.001189,               0.001189
                     91,               0.016061,               0.012724,               0.011634,              0.0056997,                0.99144,                0.98252,                0.99337,                0.94593,                0.98912,                0.97802,                 0.9904,                0.92673,               0.011605,              0.0099807,              0.0063184,              0.0029077,                0.00109,                0.00109,                0.00109
                     92,               0.016116,               0.012873,               0.011707,              0.0057956,                0.99281,                0.98228,                0.99367,                0.94599,                0.99079,                0.97818,                 0.9905,                0.92663,               0.011596,              0.0099759,              0.0062986,              0.0029117,               0.000991,               0.000991,               0.000991
                     93,                0.01591,               0.012801,                0.01162,                0.00564,                0.99201,                0.98283,                0.99374,                0.94589,                0.98947,                 0.9782,                0.99018,                0.92651,               0.011588,              0.0099717,              0.0062974,               0.002928,               0.000892,               0.000892,               0.000892
                     94,               0.016054,               0.012822,               0.011595,              0.0057464,                0.99234,                0.98229,                0.99348,                0.94575,                0.99047,                 0.9778,                0.99072,                0.92654,               0.011575,              0.0099564,              0.0062775,              0.0029551,               0.000793,               0.000793,               0.000793
                     95,               0.015926,               0.012789,               0.011615,              0.0055718,                0.99261,                0.98166,                0.99369,                0.94546,                 0.9911,                0.97673,                 0.9903,                 0.9272,               0.011576,              0.0099353,              0.0062578,              0.0029789,               0.000694,               0.000694,               0.000694
                     96,                0.01581,               0.012756,               0.011482,              0.0055011,                0.99133,                0.98225,                0.99352,                0.94637,                 0.9911,                0.97763,                 0.9907,                0.92706,               0.011556,              0.0099451,              0.0062549,              0.0029739,               0.000595,               0.000595,               0.000595
                     97,               0.015748,               0.012708,               0.011513,              0.0055121,                0.99213,                0.98149,                 0.9934,                0.94627,                0.99204,                0.97699,                0.99131,                0.92729,                0.01155,              0.0099397,              0.0062588,               0.002969,               0.000496,               0.000496,               0.000496
                     98,               0.015814,               0.012671,               0.011437,              0.0054903,                0.99159,                0.98211,                0.99346,                0.94709,                0.99106,                0.97728,                0.99117,                0.92766,                0.01154,               0.009932,              0.0062536,              0.0029615,               0.000397,               0.000397,               0.000397
                     99,               0.015586,                0.01244,                0.01116,               0.005326,                0.99155,                0.98238,                0.99354,                0.94668,                0.99133,                0.97865,                0.99134,                0.92787,                0.01153,              0.0099393,              0.0062469,              0.0029595,               0.000298,               0.000298,               0.000298
                    100,                0.99182,                0.98194,                0.99346,                0.94699,                0.99101,                0.97737,                0.99116,                0.92779,                0.01154,              0.0099318,              0.0062535,              0.0029613
