epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,128954,0.49366,1.18546,0.00744,0.90907,0.86357,0.8899,0.79748,0.4477,0.50453,0.01044,0.0242756,0.00809186,0.0242756,0.00809186,0.0242756,0.00809186,0.0242756,0.00809186
31,133948,0.4928,1.17046,0.00743,0.84005,0.88136,0.88613,0.79484,0.44419,0.5021,0.01044,0.0240782,0.00802606,0.0240782,0.00802606,0.0240782,0.00802606,0.0240782,0.00802606
32,138350,0.48988,1.1727,0.00735,0.8388,0.86992,0.89611,0.81036,0.43419,0.47425,0.00994,0.0238808,0.00796026,0.0238808,0.00796026,0.0238808,0.00796026,0.0238808,0.00796026
33,142357,0.48399,1.15319,0.00733,0.88462,0.88256,0.91373,0.82658,0.43842,0.4759,0.01003,0.0236834,0.00789446,0.0236834,0.00789446,0.0236834,0.00789446,0.0236834,0.00789446
34,147282,0.48705,1.15229,0.00733,0.90163,0.86683,0.90751,0.82207,0.42006,0.46448,0.00946,0.023486,0.00782867,0.023486,0.00782867,0.023486,0.00782867,0.023486,0.00782867
35,152468,0.48671,1.14208,0.00733,0.85745,0.88316,0.89987,0.81647,0.42643,0.44876,0.00957,0.0232886,0.00776287,0.0232886,0.00776287,0.0232886,0.00776287,0.0232886,0.00776287
36,155495,0.48653,1.15068,0.00735,0.85995,0.88153,0.90311,0.80934,0.43604,0.46158,0.01001,0.0230912,0.00769707,0.0230912,0.00769707,0.0230912,0.00769707,0.0230912,0.00769707
37,159005,0.47889,1.14216,0.00722,0.95233,0.86287,0.90491,0.81578,0.43942,0.45367,0.01019,0.0228938,0.00763127,0.0228938,0.00763127,0.0228938,0.00763127,0.0228938,0.00763127
38,163880,0.48154,1.13191,0.00724,0.93582,0.88032,0.90074,0.82747,0.4165,0.44735,0.00927,0.0226964,0.00756547,0.0226964,0.00756547,0.0226964,0.00756547,0.0226964,0.00756547
39,168986,0.47901,1.1193,0.00722,0.8638,0.90667,0.91692,0.83144,0.4076,0.42692,0.00911,0.022499,0.00749968,0.022499,0.00749968,0.022499,0.00749968,0.022499,0.00749968
40,172757,0.47595,1.10949,0.00719,0.86992,0.8917,0.91602,0.83751,0.41215,0.43892,0.00907,0.0223016,0.00743388,0.0223016,0.00743388,0.0223016,0.00743388,0.0223016,0.00743388
41,176099,0.47662,1.12033,0.00714,0.84945,0.86887,0.89752,0.80804,0.43961,0.46608,0.0103,0.0221042,0.00736808,0.0221042,0.00736808,0.0221042,0.00736808,0.0221042,0.00736808
42,180259,0.47897,1.11184,0.0072,0.84581,0.89101,0.89938,0.8262,0.40027,0.44959,0.00869,0.0219068,0.00730228,0.0219068,0.00730228,0.0219068,0.00730228,0.0219068,0.00730228
43,184792,0.47783,1.10364,0.00712,0.86424,0.86914,0.90363,0.82746,0.39793,0.46385,0.00871,0.0217095,0.00723648,0.0217095,0.00723648,0.0217095,0.00723648,0.0217095,0.00723648
44,188701,0.47418,1.09197,0.00714,0.90783,0.87617,0.91488,0.841,0.39931,0.42606,0.00875,0.0215121,0.00717069,0.0215121,0.00717069,0.0215121,0.00717069,0.0215121,0.00717069
45,192405,0.47028,1.08166,0.00698,0.92093,0.87279,0.90668,0.83468,0.3986,0.43385,0.00867,0.0213147,0.00710489,0.0213147,0.00710489,0.0213147,0.00710489,0.0213147,0.00710489
46,197379,0.47139,1.08392,0.00708,0.88296,0.90084,0.91734,0.84669,0.39342,0.42352,0.00858,0.0211173,0.00703909,0.0211173,0.00703909,0.0211173,0.00703909,0.0211173,0.00703909
47,201601,0.47617,1.08406,0.00711,0.88694,0.90988,0.92138,0.84409,0.3978,0.41198,0.00873,0.0209199,0.00697329,0.0209199,0.00697329,0.0209199,0.00697329,0.0209199,0.00697329
48,204700,0.46912,1.06247,0.00708,0.87029,0.90487,0.91705,0.83432,0.40296,0.43017,0.00887,0.0207225,0.00690749,0.0207225,0.00690749,0.0207225,0.00690749,0.0207225,0.00690749
49,207737,0.46711,1.07585,0.00699,0.8861,0.88938,0.90036,0.82773,0.39667,0.42981,0.00864,0.0205251,0.0068417,0.0205251,0.0068417,0.0205251,0.0068417,0.0205251,0.0068417
50,212637,0.46644,1.0651,0.00694,0.95538,0.87416,0.90026,0.83376,0.39074,0.43418,0.00844,0.0203277,0.0067759,0.0203277,0.0067759,0.0203277,0.0067759,0.0203277,0.0067759
51,217047,0.467,1.07605,0.00701,0.87919,0.86091,0.90086,0.82908,0.39507,0.45344,0.00869,0.0201303,0.0067101,0.0201303,0.0067101,0.0201303,0.0067101,0.0201303,0.0067101
52,220932,0.46547,1.05603,0.00695,0.87191,0.86924,0.90296,0.83308,0.39227,0.4368,0.00857,0.0199329,0.0066443,0.0199329,0.0066443,0.0199329,0.0066443,0.0199329,0.0066443
53,224930,0.46349,1.05213,0.00686,0.86911,0.87281,0.90409,0.83184,0.39349,0.4192,0.00865,0.0197355,0.0065785,0.0197355,0.0065785,0.0197355,0.0065785,0.0197355,0.0065785
54,230297,0.46597,1.04436,0.0069,0.85755,0.87502,0.90375,0.82913,0.39828,0.42543,0.00895,0.0195381,0.00651271,0.0195381,0.00651271,0.0195381,0.00651271,0.0195381,0.00651271
55,235122,0.45912,1.023,0.00684,0.96184,0.87172,0.90843,0.8377,0.39259,0.42882,0.00868,0.0193407,0.00644691,0.0193407,0.00644691,0.0193407,0.00644691,0.0193407,0.00644691
56,239893,0.46272,1.02397,0.00686,0.90024,0.8755,0.91067,0.8313,0.39287,0.45725,0.00869,0.0191433,0.00638111,0.0191433,0.00638111,0.0191433,0.00638111,0.0191433,0.00638111
57,243666,0.45498,1.01161,0.0067,0.88591,0.87735,0.9048,0.82971,0.39454,0.43846,0.00879,0.0189459,0.00631531,0.0189459,0.00631531,0.0189459,0.00631531,0.0189459,0.00631531
58,248122,0.46032,1.02899,0.00686,0.87437,0.87189,0.90076,0.82868,0.39777,0.433,0.00894,0.0187485,0.00624951,0.0187485,0.00624951,0.0187485,0.00624951,0.0187485,0.00624951
59,253237,0.4574,1.01214,0.00679,0.88218,0.87554,0.9029,0.82678,0.40959,0.41081,0.00942,0.0185511,0.00618372,0.0185511,0.00618372,0.0185511,0.00618372,0.0185511,0.00618372
60,257448,0.44709,1.0013,0.00664,0.96565,0.87635,0.9043,0.82617,0.41237,0.41171,0.00955,0.0183538,0.00611792,0.0183538,0.00611792,0.0183538,0.00611792,0.0183538,0.00611792
61,260952,0.45528,1.00212,0.00674,0.88439,0.87792,0.9062,0.83105,0.40494,0.40262,0.00922,0.0181564,0.00605212,0.0181564,0.00605212,0.0181564,0.00605212,0.0181564,0.00605212
62,265388,0.45461,1.00429,0.00672,0.96307,0.87578,0.90752,0.83121,0.40416,0.40745,0.00919,0.017959,0.00598632,0.017959,0.00598632,0.017959,0.00598632,0.017959,0.00598632
63,269745,0.44934,0.99359,0.00666,0.88381,0.8846,0.90844,0.83244,0.40069,0.40016,0.00905,0.0177616,0.00592052,0.0177616,0.00592052,0.0177616,0.00592052,0.0177616,0.00592052
64,273933,0.44211,0.97169,0.00661,0.89038,0.88639,0.91179,0.83671,0.39666,0.39901,0.00889,0.0175642,0.00585473,0.0175642,0.00585473,0.0175642,0.00585473,0.0175642,0.00585473
65,277516,0.44597,0.98054,0.00662,0.87967,0.88002,0.90407,0.83279,0.39387,0.41602,0.00879,0.0173668,0.00578893,0.0173668,0.00578893,0.0173668,0.00578893,0.0173668,0.00578893
66,282546,0.44103,0.96374,0.00653,0.87689,0.87362,0.90354,0.83388,0.39309,0.42247,0.00876,0.0171694,0.00572313,0.0171694,0.00572313,0.0171694,0.00572313,0.0171694,0.00572313
