epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4613.5,0.61329,0.50573,0.01016,0.90907,0.85022,0.86969,0.76387,0.58923,0.36897,0.01185,0.000371313,0.000371313,0.000371313
43,4723.18,0.60563,0.49387,0.00992,0.89073,0.83268,0.86027,0.76093,0.57749,0.43682,0.01161,0.000365125,0.000365125,0.000365125
44,4829.73,0.62577,0.4971,0.0105,0.89896,0.80353,0.85228,0.74612,0.60124,0.46613,0.0122,0.000358938,0.000358938,0.000358938
45,4938.48,0.5982,0.4682,0.00979,0.91489,0.82516,0.85853,0.75538,0.58704,0.44119,0.01193,0.00035275,0.00035275,0.00035275
46,5047.69,0.61583,0.47091,0.01002,0.92933,0.8333,0.86255,0.76284,0.57748,0.36764,0.01163,0.000346563,0.000346563,0.000346563
47,5150.65,0.59378,0.45592,0.00998,0.92636,0.83539,0.85701,0.75154,0.5976,0.41292,0.01201,0.000340375,0.000340375,0.000340375
48,5252.02,0.60428,0.47195,0.01001,0.90725,0.82528,0.8583,0.74789,0.59192,0.40901,0.01218,0.000334188,0.000334188,0.000334188
49,5352.49,0.58467,0.44322,0.00982,0.92242,0.80888,0.86226,0.76596,0.57992,0.47937,0.01143,0.000328,0.000328,0.000328
50,5455.89,0.58215,0.45035,0.0097,0.82572,0.81473,0.85519,0.76117,0.56475,0.44199,0.01119,0.000321812,0.000321812,0.000321812
51,5558.39,0.58722,0.45397,0.00978,0.90704,0.8012,0.85149,0.76085,0.56845,0.44963,0.01115,0.000315625,0.000315625,0.000315625
52,5664.2,0.58031,0.45048,0.00952,0.9136,0.83678,0.85628,0.76142,0.57307,0.414,0.01145,0.000309437,0.000309437,0.000309437
53,5770.96,0.58124,0.4448,0.00961,0.80188,0.82646,0.85889,0.76124,0.57758,0.52926,0.01147,0.00030325,0.00030325,0.00030325
54,5878.52,0.59218,0.45454,0.00988,0.92056,0.8441,0.86684,0.7693,0.57435,0.37715,0.01143,0.000297063,0.000297063,0.000297063
55,5981.07,0.56542,0.44659,0.0093,0.83129,0.8347,0.86228,0.76954,0.56388,0.4026,0.01114,0.000290875,0.000290875,0.000290875
56,6082.27,0.57524,0.451,0.00943,0.83508,0.84803,0.87173,0.77456,0.56493,0.36076,0.01108,0.000284688,0.000284688,0.000284688
57,6184.07,0.57257,0.42584,0.00935,0.91438,0.86034,0.8706,0.7787,0.55083,0.37325,0.01089,0.0002785,0.0002785,0.0002785
58,6285.79,0.56637,0.43312,0.00938,0.92591,0.84298,0.86115,0.76582,0.56762,0.42396,0.01126,0.000272313,0.000272313,0.000272313
