epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,7359.28,0.50236,0.52307,0.46015,0.00552,0.50324,0.96437,0.95825,0.98869,0.93611,0.97135,0.95014,0.98655,0.94857,0.37415,0.39767,0.20948,0.00845,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7673.92,0.49522,0.51413,0.45826,0.00541,0.50726,0.95922,0.94096,0.98627,0.9368,0.96037,0.93945,0.98405,0.94845,0.36706,0.39129,0.23336,0.00829,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7988.05,0.49788,0.5266,0.46216,0.00548,0.49625,0.97369,0.93839,0.98741,0.93397,0.97424,0.93913,0.98513,0.9479,0.37766,0.37994,0.23499,0.00859,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8302.1,0.49821,0.51689,0.45831,0.00545,0.49007,0.97493,0.93986,0.98829,0.94108,0.97472,0.93965,0.98638,0.95108,0.35663,0.38966,0.21469,0.00792,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8616.01,0.49365,0.51545,0.44691,0.00539,0.48201,0.97943,0.94493,0.98937,0.93938,0.97903,0.94455,0.98709,0.95083,0.36482,0.38933,0.20561,0.00819,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8929.65,0.48589,0.49256,0.42249,0.00529,0.45216,0.96369,0.94718,0.98724,0.9396,0.96604,0.94454,0.98575,0.94907,0.3534,0.38774,0.22434,0.00781,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9245.38,0.48461,0.50038,0.43412,0.00529,0.47221,0.97451,0.95051,0.98959,0.94424,0.97576,0.94784,0.98815,0.9532,0.35596,0.37777,0.20316,0.008,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9560.9,0.48118,0.49437,0.43055,0.00526,0.46245,0.97708,0.93835,0.98808,0.94135,0.97749,0.93813,0.98684,0.95192,0.35945,0.37883,0.21223,0.00811,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9877.82,0.47606,0.49853,0.42079,0.00518,0.43672,0.97594,0.95072,0.99031,0.94775,0.97882,0.94959,0.98956,0.95653,0.34568,0.37299,0.195,0.00763,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10195.9,0.47417,0.4869,0.41692,0.00517,0.44815,0.97218,0.955,0.99026,0.94445,0.97658,0.94712,0.98794,0.95615,0.35578,0.38025,0.20018,0.00792,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
