epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,52774.9,0.63615,0.76639,0.01035,0.93148,0.85187,0.8987,0.77734,0.5233,0.50587,0.00933,0.0214134,0.00713779,0.0214134,0.00713779,0.0214134,0.00713779,0.0214134,0.00713779
31,54141.5,0.62104,0.73869,0.01013,0.93261,0.85792,0.87583,0.73703,0.52839,0.42602,0.00989,0.0211173,0.00703909,0.0211173,0.00703909,0.0211173,0.00703909,0.0211173,0.00703909
32,55951.2,0.6279,0.72903,0.01022,0.93933,0.84893,0.87624,0.74737,0.51285,0.4406,0.00935,0.0208212,0.00694039,0.0208212,0.00694039,0.0208212,0.00694039,0.0208212,0.00694039
33,57290.2,0.62007,0.74002,0.00988,0.85644,0.84598,0.87563,0.76194,0.50919,0.44581,0.00929,0.0205251,0.0068417,0.0205251,0.0068417,0.0205251,0.0068417,0.0205251,0.0068417
34,58958.7,0.61931,0.72745,0.01,0.92019,0.87016,0.87757,0.75098,0.52117,0.43447,0.00954,0.020229,0.006743,0.020229,0.006743,0.020229,0.006743,0.020229,0.006743
35,60493.8,0.60454,0.69183,0.00972,0.92781,0.85075,0.87843,0.76272,0.50336,0.4529,0.00909,0.0199329,0.0066443,0.0199329,0.0066443,0.0199329,0.0066443,0.0199329,0.0066443
36,62100.7,0.61621,0.6944,0.00999,0.93704,0.84624,0.87594,0.75885,0.51094,0.43499,0.00935,0.0196368,0.00654561,0.0196368,0.00654561,0.0196368,0.00654561,0.0196368,0.00654561
37,63746.8,0.60012,0.68379,0.00965,0.94332,0.85054,0.88096,0.76561,0.49892,0.41377,0.00903,0.0193407,0.00644691,0.0193407,0.00644691,0.0193407,0.00644691,0.0193407,0.00644691
38,65363.2,0.60366,0.68603,0.00955,0.85698,0.86644,0.87774,0.75951,0.50144,0.42908,0.00911,0.0190446,0.00634821,0.0190446,0.00634821,0.0190446,0.00634821,0.0190446,0.00634821
39,67079.6,0.59907,0.66941,0.00959,0.93671,0.86371,0.87565,0.76619,0.49846,0.42506,0.00906,0.0187485,0.00624951,0.0187485,0.00624951,0.0187485,0.00624951,0.0187485,0.00624951
40,68899.2,0.59286,0.65556,0.00945,0.85169,0.86321,0.87602,0.7709,0.49752,0.40407,0.00894,0.0184525,0.00615082,0.0184525,0.00615082,0.0184525,0.00615082,0.0184525,0.00615082
41,70539.7,0.59151,0.63869,0.0095,0.94948,0.86903,0.88954,0.78662,0.48283,0.36755,0.00859,0.0181564,0.00605212,0.0181564,0.00605212,0.0181564,0.00605212,0.0181564,0.00605212
42,72548.6,0.58415,0.63732,0.00941,0.85443,0.86838,0.87852,0.77642,0.48604,0.39283,0.00872,0.0178603,0.00595342,0.0178603,0.00595342,0.0178603,0.00595342,0.0178603,0.00595342
43,74414.9,0.58781,0.63599,0.00943,0.86675,0.86709,0.88055,0.77604,0.48423,0.35889,0.0086,0.0175642,0.00585473,0.0175642,0.00585473,0.0175642,0.00585473,0.0175642,0.00585473
44,76467.4,0.58064,0.63863,0.00919,0.92514,0.8626,0.86783,0.7635,0.4898,0.40634,0.00886,0.0172681,0.00575603,0.0172681,0.00575603,0.0172681,0.00575603,0.0172681,0.00575603
45,77980.7,0.57928,0.63081,0.00924,0.94683,0.86237,0.88077,0.78368,0.48237,0.37642,0.0086,0.016972,0.00565733,0.016972,0.00565733,0.016972,0.00565733,0.016972,0.00565733
46,79924.7,0.57096,0.59049,0.00902,0.93594,0.87257,0.88122,0.77637,0.48219,0.40317,0.00862,0.0166759,0.00555864,0.0166759,0.00555864,0.0166759,0.00555864,0.0166759,0.00555864
47,81585.2,0.56868,0.60547,0.00904,0.95035,0.86886,0.87741,0.77513,0.47431,0.3588,0.0085,0.0163798,0.00545994,0.0163798,0.00545994,0.0163798,0.00545994,0.0163798,0.00545994
48,83419.7,0.5656,0.59585,0.00907,0.94408,0.87651,0.87842,0.77821,0.48438,0.37569,0.00867,0.0160837,0.00536124,0.0160837,0.00536124,0.0160837,0.00536124,0.0160837,0.00536124
49,85175,0.56252,0.59503,0.00893,0.94348,0.87202,0.87707,0.78266,0.48009,0.38712,0.00856,0.0157876,0.00526254,0.0157876,0.00526254,0.0157876,0.00526254,0.0157876,0.00526254
50,87069.5,0.55409,0.58225,0.00886,0.86227,0.86871,0.87815,0.78055,0.48002,0.36361,0.00866,0.0154915,0.00516385,0.0154915,0.00516385,0.0154915,0.00516385,0.0154915,0.00516385
51,88774.4,0.55568,0.58506,0.00878,0.9449,0.8726,0.87357,0.77391,0.47451,0.34593,0.00849,0.0151955,0.00506515,0.0151955,0.00506515,0.0151955,0.00506515,0.0151955,0.00506515
52,91184.5,0.55359,0.58024,0.00876,0.94824,0.86853,0.88035,0.78543,0.46397,0.34833,0.00829,0.0148994,0.00496645,0.0148994,0.00496645,0.0148994,0.00496645,0.0148994,0.00496645
53,93051.6,0.54618,0.56557,0.00862,0.95288,0.85979,0.87931,0.78578,0.46957,0.3472,0.00839,0.0146033,0.00486776,0.0146033,0.00486776,0.0146033,0.00486776,0.0146033,0.00486776
54,95088.4,0.54577,0.56551,0.00861,0.96019,0.86153,0.88264,0.78924,0.46946,0.36244,0.00831,0.0143072,0.00476906,0.0143072,0.00476906,0.0143072,0.00476906,0.0143072,0.00476906
55,96570.9,0.54176,0.54661,0.00859,0.94851,0.87457,0.87711,0.7888,0.46888,0.36712,0.00826,0.0140111,0.00467036,0.0140111,0.00467036,0.0140111,0.00467036,0.0140111,0.00467036
56,98469.2,0.53274,0.54013,0.00834,0.94982,0.87202,0.87823,0.78906,0.46457,0.33875,0.00818,0.013715,0.00457166,0.013715,0.00457166,0.013715,0.00457166,0.013715,0.00457166
57,100673,0.53773,0.54815,0.00841,0.94933,0.87022,0.88078,0.80026,0.45096,0.342,0.00782,0.0134189,0.00447297,0.0134189,0.00447297,0.0134189,0.00447297,0.0134189,0.00447297
